,University,Details,Location,Rank,Tuition & Fee($),Undergraduate enrollment (fall 2022)
376,Eastern Michigan University,https://www.usnews.com/best-colleges/eastern-michigan-university-2259,"Ypsilanti, MI",376,15170,11617.0
377,Gardner-Webb University,https://www.usnews.com/best-colleges/gardner-webb-2929,"Boiling Springs, NC",376,33230,1977.0
378,Mount St. Joseph University,https://www.usnews.com/best-colleges/college-of-mount-st-joseph-3033,"Cincinnati, OH",376,34900,1423.0
379,Tarleton State University,https://www.usnews.com/best-colleges/tarleton-3631,"Stephenville, TX",376,21932,12012.0
380,Wingate University,https://www.usnews.com/best-colleges/wingate-university-2985,"Wingate, NC",376,41516,2510.0
381,Indiana State University,https://www.usnews.com/best-colleges/indiana-state-9563,"Terre Haute, IN",382,21734,6965.0
382,Northern Kentucky University,https://www.usnews.com/best-colleges/northern-kentucky-university-9275,"Highland Heights, KY",382,21480,10776.0
383,Palm Beach Atlantic University,https://www.usnews.com/best-colleges/palm-beach-atlantic-university-8849,"West Palm Beach, FL",382,35900,3028.0
384,Trevecca Nazarene University,https://www.usnews.com/best-colleges/trevecca-nazarene-university-3526,"Nashville, TN",382,27300,1867.0
385,Trinity International University,https://www.usnews.com/best-colleges/trinity-international-university-1772,"Deerfield, IL",382,33898,
386,University of Mary,https://www.usnews.com/best-colleges/university-of-mary-2992,"Bismarck, ND",382,21062,2562.0
387,University of South Alabama,https://www.usnews.com/best-colleges/university-of-south-alabama-1057,"Mobile, AL",382,22640,8491.0
388,University of West Georgia,https://www.usnews.com/best-colleges/university-of-west-georgia-1601,"Carrollton, GA",382,20852,8687.0
389,Roosevelt University,https://www.usnews.com/best-colleges/roosevelt-university-1749,"Chicago, IL",390,20280,2391.0
390,Saint Leo University,https://www.usnews.com/best-colleges/saint-leo-university-1526,"Saint Leo, FL",390,28360,2336.0
391,University of Arkansas at Little Rock,https://www.usnews.com/best-colleges/university-of-arkansas-at-little-rock-1101,"Little Rock, AR",390,18957,6236.0
392,University of Michigan--Flint,https://www.usnews.com/best-colleges/university-of-michigan-flint-2327,"Flint, MI",390,25830,4609.0
393,Alabama State University,https://www.usnews.com/best-colleges/alabama-state-university-1005,"Montgomery, AL",394-435,19396,3296.0
394,American International College,https://www.usnews.com/best-colleges/american-international-college-2114,"Springfield, MA",394-435,40550,
395,Barry University,https://www.usnews.com/best-colleges/barry-university-1466,"Miami Shores, FL",394-435,32500,3122.0
396,Belhaven University,https://www.usnews.com/best-colleges/belhaven-2397,"Jackson, MS",394-435,29195,1501.0
397,Brenau University,https://www.usnews.com/best-colleges/brenau-university-1556,"Gainesville, GA",394-435,33275,1367.0
398,Briar Cliff University,https://www.usnews.com/best-colleges/briar-cliff-university-1846,"Sioux City, IA",394-435,34498,709.0
399,Capitol Technology University,https://www.usnews.com/best-colleges/capitol-technology-university-1436,"Laurel, MD",394-435,27004,
